Company,Latitude,Longitude,Employees,Annual Sales,Year Established,Business Description,Brand Names,Primary SIC Code,Primary SIC Code Description,NAICS Code,NAICS Code Description
Ahlstrom,44.282739,-88.251654,1800,$450Mil,1883,"Company headquarters & specialty lightweight packaging, pressure sensitive & industrial papers for foodservice, tape, consumer product & industrial applications","FluoroFree, Culinera, Palettera, Steel-Shield, Glass-Gard, Insu-Gard, Delicitera, Servera, Tempera, Grease-Gard",2672,Paper coated and laminated,322220,Paper Bag and Coated and Treated Paper Manufacturing
"J. J. Keller & Associates, Inc.",44.155922,-88.546848,1800,$350Mil,1953,"DOT, transportation, OSHA, workplace safety, human resources, construction safety & hazardous materials regulatory compliance book publishing & products & services, including forms, supplies, electronic logging devices & IT managed & training","Encompass®, DataSense®, FleetMentor®, Green Book®, Kresky®, Log Checker®, SafeGear®, VideoProtects®, Safe & Smart® Driver Training, Keller Permits™, FMLA Manager™",2731,Book publishing,513130,Book Publishers
"Miller Electric Manufacturing, LLC",44.256049,-88.431687,1800,$1.3Bil,1929,Company headquarters & welding equipment,"Miller, Hobart, Tregaskiss, Benard",3548,Welding apparatus,333992,Welding and Soldering Equipment Manufacturing
"Trane US, Inc.",43.858736,-91.225488,1800,over $100Mil,1913,"Heating ventilation, air conditioning & building automation systems",,3585,Refrigeration and heating equipment,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
"Generac Power Systems, Inc.",42.96282,-88.325088,1727,$450Mil (est),1998,"Corporate headquarters & commercial, industrial & residential generators & power washers",,3621,Motors and generators,335312,Motor and Generator Manufacturing
"Waupaca Foundry, Inc.",44.355558,-89.055755,1620,over $1.6Bil,1955,"Corporate headquarters & gray & ductile iron castings for the automotive, agriculture, off-highway & industrial markets",,3321,Foundries-gray and ductile iron,331511,Iron Foundries
"Johnsonville, LLC",43.791924,-87.906682,1600,$360Mil (est),1945,Company headquarters & sausage processing,,2013,Sausages and other prepared meat products,311600,Animal Slaughtering and Processing
"Alliance Laundry Systems, LLC",43.847699,-88.832301,1500,over $100Mil,1908,Company headquarters & laundry equipment,"Speed Queen, Huebsch, UniMac, Primus, IPSO",3582,Laundry equipment-commercial,333310,Commercial and Service Industry Machinery Manufacturing
Fincantieri Marinette Marine Corp.,45.100182,-87.621021,1500,$500Mil,1942,Military ships & vessels for the U. S. Navy & Army & Coast Guard,,3731,Ship building and repairing,332323,Ornamental and Architectural Metal Work Manufacturing
"Green Bay Dressed Beef, LLC",44.511345,-87.980328,1500,over $600Mil,1971,Beef & by-products processing,,2011,Meat packing plants,311611,Animal (except Poultry) Slaughtering
"Pierce Manufacturing, Inc.",44.242652,-88.470023,1500,$360Mil (est),1913,Corporate headquarters & fire apparatus,,3713,Truck and bus bodies,336211,Motor Vehicle Body Manufacturing
Quad,43.62437,-88.450782,1350,$200Mil,1985,"Web-offset & gravure printing of magazines, catalogs, retail inserts, direct mail pieces & books",,2752,Lithographic printing-commercial,323117,Books Printing
JBS Packerland Inc,,,1300,over $100Mil,1960,Meat processing & packaging,,2011,Meat packing plants,311611,Animal (except Poultry) Slaughtering
"Palermo Villa, Inc.",43.027246,-87.956197,1300,$330Mil (est),1964,Branded & private label frozen pizza products,"Palermo's®, Screamin' Sicilian™, Urban Pie™, Connie's®, Surfer Boy",2038,Frozen specialties,311412,Frozen Specialty Food Manufacturing
"S. C. Johnson & Son, Inc.",42.713535,-87.883314,1294,over $9Bil,1886,"Household cleaning, air care, insect control & shoe care products & home storage bags & containers","Glade, OFF, Pledge, Raid, Scrubbing Bubbles, Shout, Windex, Ziploc, Saran, Drano",2841,Soap and other detergents,325611,Soap and Other Detergent Manufacturing
"Appvion, Inc.",44.272751,-88.394644,1250,$690Mil,1907,"Corporate headquarters & thermal, carbonless, security, inkjet, digital specialty & colored papers","NCR PAPER, Resiste, Assurmark, DocuMark, DocuCheck, Heatsafe, Impede, Integra, PolyTherm, SecuraTherm, Techmark, Thermasense, Ultimark, Wavex, Xero/Form, kaBoom, Alpha, Appleton Digital, Triumph",2621,Paper mills,322100,"Pulp, Paper, and Paperboard Mills"
"Jennie-O Turkey Store, Inc.",45.401739,-91.848263,1230,$280Mil (est),,Pre-sliced ham & turkey burgers,,2013,Sausages and other prepared meat products,311615,Poultry Processing
"S. C. Johnson & Son, Inc.",42.713622,-87.790955,1218,$9Bil,1886,"Corporate headquarters; household cleaning, air care, insect control & shoe care products & home storage bags & containers","Raid®, Bama®, Mr. Muscle®, Ziploc®, Glade®, OFF!®, Pledge®, Scrubbing Bubbles®, Baygon®, Autan®, Mrs Meyers®, Method®, Babyganics®, Ecover®",2841,Soap and other detergents,325611,Soap and Other Detergent Manufacturing
"Nemak USA, Inc.",43.708224,-87.751714,1204,$250Mil,2007,Aluminum die castings,,3363,Aluminum die-castings,331523,Nonferrous Metal Die-Casting Foundries
Bemis Manufacturing Co.,43.725273,-87.821166,1200,$290Mil (est),1901,"Company headquarters & plastic & enameled wooden toilet seats, fluid & air management products & large part injection-molded products, including caps, gages & sensors","Mayfair by Bemis, Bemis, Church, Kelch, Bemis Independence, Bio Bidet by Bemis, Bemis Health Care",3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Clarios Advanced Solutions, LLC",43.125093,-87.938687,1200,$42Bil,1885,"Company headquarters & lithium-ion batteries & systems for hybrid & electric vehicles, lead-acid batteries for start-stop & related high-efficiency vehicles & multiple cell chemistries for advance energy storage, including testing",,3691,Batteries-storage,335910,Battery Manufacturing
"Deere & Co., Agricultural & Turf Div.",43.454007,-88.632945,1200,$400Mil (est),1860,"Lawn & garden tractors, utility vehicles & golf & turf reel mowers",,3524,Lawn and garden equipment,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
"Direct Supply, Inc.",43.14179,-88.002285,1200,"under $500,000",1985,Wholesaler of medical equipment,,5047,Medical and hospital equipment,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
"Georgia-Pacific Consumer Operations, LLC",44.494467,-88.039774,1200,$480Mil (est),1919,"Tissue, towels, napkins & wipers","Mardi Gras, Soft 'N Gentle, Green Forest, So Dri",2676,Sanitary paper products,322291,Sanitary Paper Product Manufacturing
"Pieper Electric, Inc.",42.945156,-88.117654,1200,$233Mil-$250Mil,1947,"Corporate headquarters & electric, motor, computer & pneumatic control panels, components & systems, including PLC programming",Pieper Automation,3625,Relays and industrial controls,335314,Relay and Industrial Control Manufacturing
Sargento Foods Inc.,43.771589,-87.998189,1200,$1.6Bil,1953,"Corporate headquarters & cheese for retail, foodservice & food ingredient customers",Sargento,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
Smithfield Foods,42.956162,-87.863853,1200,over $600Mil,1888,"Meat processing for retail, deli, foodservice & industrial channels","Patrick Cudahy, La Abuelita, Pavone Deli 8 Smithfield",2011,Meat packing plants,311611,Animal (except Poultry) Slaughtering
The PendaForm Co.,43.556278,-89.490775,1200,$200Mil-$250Mil,1975,"Large-scale thermoformed commercial products & thermoformed plastics for the OEM, heavy-truck & material handling packaging markets, including truck bed liners & wheel house protection systems","Pendaliner, Duraliner, SmartDitch, MegaDitch, SiteSaver, VanGuard",3089,Plastic products,333310,Commercial and Service Industry Machinery Manufacturing
"Brady Worldwide, Inc.",43.146632,-87.989322,1100,over $1Bil,1914,"Corporate headquarters & pressure-sensitive tape, labels, electrical wire markers & industrial safety products","Datab, Bradytag, Permasleeve, Bradysleeve",2672,Paper coated and laminated,322220,Paper Bag and Coated and Treated Paper Manufacturing
"Brakebush Bros., Inc.",43.818982,-89.483173,1100,$340Mil,1925,Corporate headquarters & chicken processing,Brakebush,2015,Poultry slaughtering and processing,311615,Poultry Processing
Fincantieri Bay Shipbuilding,44.841622,-87.380977,1100,$250Mil (est),1918,"Shipbuilding, including marine dry-docking & ship conversion & repair",,3731,Ship building and repairing,336611,Ship Building and Repairing
"Sturm Foods, Inc.",44.465406,-88.918247,1100,$100Mil-$200Mil,1905,"Instant nonfat dry milk, fruit flavored drinks & hot cocoa mixes & cereals",,2023,"Dry, condensed, evaporated products",311500,Dairy Product Manufacturing
"Harley-Davidson Motor Co., Inc.",43.04561,-87.961803,1085,$6.2Bil,1903,Corporate headquarters; motorcycles,,3751,"Motorcycles, bicycles and parts",336991,"Motorcycle, Bicycle, and Parts Manufacturing"
"Electronic Theatre Controls, Inc.",43.106838,-89.534677,1020,$400Mil,1975,Corporate headquarters & lighting & rigging products & systems for entertainment & architectural applications,"Source Four, Eos, Gio, Ion, High End Systems, Sensor, Unison, Paradigm, Mosaic, Prodigy, QuickTouch, ColorSource, Arcsystem",3646,Lighting fixtures-commercial,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
Promega Corp.,43.005923,-89.418691,1001,$300Mil (est),1978,"Corporate headquarters & diagnostic reagents & integrated systems for the biotechnology, DNA identification & in vitro industries, including instrumentation, medical devices & life science services",,2835,Diagnostic substances,325414,Biological Product (except Diagnostic) Manufacturing
Ariens Co.,44.18218,-88.075969,1000,$340Mil (est),1933,"Zero-turn mowers & snow blowers & OEM & will-fit aftermarket parts, including repair & support services","Ariens, Gravely, Sno-Thro, Henry's Parts & Equipment, Rapid Care, AS-Motor",3524,Lawn and garden equipment,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
"Cree Lighting USA, LLC",42.717444,-87.898722,1000,$300Mil (est),1982,"Company headquarters & security, outdoor, landscape & industrial lighting fixtures, including highway, gas stations, car washes, canopies, schools, warehouse & production facilities","BetaLED, Ruud Lighting Direct®, OSQP Pathway/Bollard, C-Lite, LEDway",3645,Lighting fixtures-residential,335131,Residential Electric Lighting Fixture Manufacturing
"Harley-Davidson Motor Co., Inc., Powertrain Opers.",43.182588,-88.101967,1000,$25Mil-$100Mil,1998,Motorcycle engines & transmissions,,3751,"Motorcycles, bicycles and parts",336991,"Motorcycle, Bicycle, and Parts Manufacturing"
"Johnson Controls, Inc., Building Efficiency Div.",43.03703,-87.904451,1000,over $100Mil,1885,"Divisional headquarters & building automation systems & HVAC equipment, including chillers, energy management & facility management","Metasys, Penn, York, Luxaire, Frick",3559,Machinery-special industry,551114,"Corporate, Subsidiary, and Regional Managing Offices"
"Kolbe & Kolbe Millwork Co., Inc.",44.943328,-89.647051,1000,$200Mil (est),1946,"Corporate headquarters & custom wooden, aluminum-clad wooden, all-aluminum & fiberglass windows & doors","Kolbe, Kolbe ServicePro, Kolbe Gallery, VistaLuxe Collection, Ultra Series, Heritage Series, Forgent Series, TerraSpan, Glastra",2431,Millwork,327215,Glass Product Manufacturing Made of Purchased Glass
"Nemak USA, Inc.",43.722915,-87.7552,1000,$300Mil,1968,"Corporate headquarters & lightweight aluminum casted, machined & assembled components for the automotive industry, including transmission cases, engine blocks & related powertrain & chassis products",,3365,Foundries-aluminum,331524,Aluminum Foundries (except Die-Casting)
Plexus Corp.,44.146666,-88.483066,1000,$290Mil (est),1979,"Contract electronics manufacturing of complex printed circuit boards & higher level electronic assemblies for the healthcare, life sciences, industrial, aerospace & defense industries, including design, rapid prototyping & aftermarket services",,3679,Electronic components,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
Quad,43.328094,-88.421951,1000,$4.3Bil,1992,"Wide-web printing, high-speed saddle-stitching & perfect binding of weekly news magazines & retail advertising inserts",,2759,Printing-commercial,323117,Books Printing
"Rockwell Automation, Inc.",43.20974,-87.990684,1000,$25Mil-$100Mil,1990,Electric DC drives & systems,,3621,Motors and generators,335312,Motor and Generator Manufacturing
"Tyson Prepared Foods, Inc.",44.370988,-88.736643,1000,over $450Mil,1929,Fresh sausage & meat products,Hillshire Farms,2011,Meat packing plants,311611,Animal (except Poultry) Slaughtering
"Tankstar USA, Inc.",43.025481,-87.950035,989,$145Mil,1913,Corporate headquarters & local & long-distance trucking of liquid & dry bulk commodities,,4212,"Local trucking, without storage",484121,Long-Distance Truckload Transportation
"U.S. Venture, Inc.",44.256008,-88.335076,982,$430Mil (est),1951,"Corporate headquarters; distributor of renewable & traditional energy products & transportation products & related goods, including lubricants, tires & undercar parts","U.S. Energy, U.S. AutoForce, Breakthrough, U.S. Lubricants, IGEN, Basin Lands",5172,Petroleum products,324191,Petroleum Lubricating Oil and Grease Manufacturing
Masters Gallery Foods,43.732632,-87.974778,975,$1.2Bil,1974,"Natural shredded, sliced, snack stick & chunk cheese for the retail industry, 5-lb shredded, cubed, blended & diced cheese for the foodservice industry & bulk 20-lb to 64-lb block & barrel mozzarella, American & Italian-style cheeses","Wisconsin Premium, Masters Gallery Select",2022,"Cheese, natural and processed",311513,Cheese Manufacturing
Kohler Co.,43.703015,-87.766679,966,$250Mil (est),1927,Diesel & gas generators,,3621,Motors and generators,335312,Motor and Generator Manufacturing
"Neenah Enterprises, Inc.",44.161938,-88.473726,950,over $100Mil,1872,"Corporate headquarters & gray & ductile iron castings for the heavy truck, agricultural, municipal & construction products industries",,3321,Foundries-gray and ductile iron,331511,Iron Foundries
"SSI Technologies, Inc.",42.677114,-88.979048,950,$250Mil (est),1982,"Ultrasonic liquid level, pressure & magnetic sensors for the automotive, construction, agriculture, heavy truck, marine, sport vehicle, medical, general industrial & test & measurement industries",,3625,Relays and industrial controls,335314,Relay and Industrial Control Manufacturing
Trek Bicycle Corp.,43.179476,-89.003522,940,$400Mil,1976,Bicycles,,3751,"Motorcycles, bicycles and parts",336991,"Motorcycle, Bicycle, and Parts Manufacturing"
"Krones, Inc.",42.870339,-87.98705,935,$1Bil,1966,"Corporate headquarters & packaging & bottling machinery for food & beverage industries, including parts & sheet metal & plate fabrication",,3565,Packaging machinery,333993,Packaging Machinery Manufacturing
Gulfstream Aerospace Corp.,44.262922,-88.510047,930,$320Mil (est),,"Aircraft completion, including interiors & upholstery",,3721,Aircraft,336411,Aircraft Manufacturing
"Belmark, Inc.",44.427514,-88.067888,900,$520Mil,1977,"Folding cartons, pressure-sensitive labels & tags & flexible packaging & shrink sleeves","Web-To-Web®, Web-to-Print®",2653,Boxes-corrugated and solid fiber,322211,Corrugated and Solid Fiber Box Manufacturing
"Colony Brands, Inc.",42.599692,-89.650719,900,$350Mil (est),1926,"Corporate headquarters & mail-order cheese, candy & dairy products & mail-order catalog publishing","The Swiss Colony, Seventh Avenue, Ginny's, Midnight Velvet, Through the Country Door, The Tender Filet, Room For Color, Ashro, Monroe & Main, Midnight Velvet Style, Montgomery Ward, One Step Ahead",2022,"Cheese, natural and processed",311513,Cheese Manufacturing
"TTM Technologies, Inc.",44.941264,-91.360935,887,$100Mil-$200Mil,1996,Printed circuits,,3672,Printed circuit boards,334412,Bare Printed Circuit Board Manufacturing
"Tweet-Garot Mechanical, Inc.",44.446085,-88.070284,880,$240Mil,1897,"HVAC, process piping, plumbing, industrial sheet metal, industrial piping, boiler services & building automation equipment, including engineering & service",,3444,Sheet metal work,332996,Fabricated Pipe and Pipe Fitting Manufacturing
"Marathon Electric, A Regal-Beloit Co.",44.980406,-89.633044,850,$220Mil (est),1913,Electric motors & generators,"Blue Chip, XRI, Black Max, Blue Max",3621,Motors and generators,335312,Motor and Generator Manufacturing
Milwaukee Center For Independence Inc.,43.037213,-87.933529,850,$50Mil-$100Mil,1938,Contract packaging & assembly services,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
The Procter & Gamble Paper Products Co.,44.522797,-88.002786,850,over $500Mil,1892,Toilet & facial tissues & paper towels,"Charmin, Charmin Ultra, Bounty, Puffs",2676,Sanitary paper products,322291,Sanitary Paper Product Manufacturing
"Phillips-Medisize, LLC",44.879445,-91.897083,845,$200Mil (est),1964,"Plastic injection molding, including product assembly",,3089,Plastic products,326199,All Other Plastics Product Manufacturing
Astronautics Corp. Of America,42.893062,-87.913342,831,$120Mil,1959,"Corporate headquarters & avionics systems & OEM & retrofit products for commercial & military aerospace applications, including primary flight, multifunction, engine & custom displays, connectivity & cybersecurity systems & avionics integration services","RoadRunner®, IBEX®, AeroSync Max, AeroSync Mission",3812,Search and navigation equipment,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
"Bell Laboratories, Inc.",43.204471,-89.326157,800,$6Mil-$10Mil,1974,"Rodenticides, mechanical traps & adhesives",,2879,Agricultural chemicals,325320,Pesticide and Other Agricultural Chemical Manufacturing
"Birds Eye Foods, LLC",42.590142,-88.735756,800,over $100Mil,1979,Frozen vegetables,"Freshlike, Birdseye",2037,"Fruits and vegetables, frozen",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
"BRP US, Inc.",42.712643,-87.912714,800,$100Mil-$250Mil,2001,Pontoon boats,"Bombardier ATV, Rotax® *Ski-Doo, *Lynx, Sea-Doo, Can-Am, Manitou, Alumacraft, Quintrex, Stacer, Savage",3732,Boat building and repairing,336612,Boat Building
Cleary Building Corp.,42.982447,-89.54417,800,$200Mil-$250Mil,1978,Corporate headquarters & commercial & agricultural buildings,,3448,Prefabricated metal buildings,332311,Prefabricated Metal Building and Component Manufacturing
"Fiserv, Inc.",43.034174,-88.141071,800,$250Mil (est),,"Corporate headquarters; computer software development for the financial industry & embossing for credit, membership & ID cards, billing statements & personal checks",,7372,Prepackaged software,513210,Software Publishers
"Gordon Food Service, LLC",42.604033,-87.940793,800,$410Mil (est),,"Broadline distributor of food products, including beef, poultry, pork, dairy products, fruits & vegetables, grocery products & beverages",,5147,Meats and meat products,424410,General Line Grocery Merchant Wholesalers
InSinkErator,42.704088,-87.841093,800,$300Mil,1938,Food waste & garbage disposals & instant hot water dispensers,,3639,Appliances-household,335200,Household Appliance Manufacturing
"Metalcraft Of Mayville, Inc.",43.514138,-88.538965,800,$750Mil,1973,"Corporate headquarters & sheet metal fabrication, lawn mowers & lawn equipment","SCAG Power Equipment, Versatran, Metalcraft Automation Group",3444,Sheet metal work,332322,Sheet Metal Work Manufacturing
"Molson Coors Beverage Co. USA, LLC",43.043137,-87.964252,800,$120Mil (est),1855,Beer,"Lite, Miller Genuine Draft, Miller Genuine Draft Light, Miller High Life, Sharp's, Milwaukee's Best, Best Light, Best Ice, Meister Brau, Meister Brau Light, Red Dog, Ice House, Magnum Malt Liquor, Leinenkugel",2082,Malt beverages,312120,Breweries
"Nestle' USA, Inc.",44.285313,-88.324333,800,$210Mil (est),1967,Frozen pizza,,2038,Frozen specialties,311412,Frozen Specialty Food Manufacturing
"Signicast International, Inc.",43.341748,-88.419972,800,$150Mil-$185Mil,1959,Corporate headquarters & investment castings & precision machining,,3324,Foundries-steel investment,331512,Steel Investment Foundries
"Uline, Inc.",42.521084,-87.95953,780,$390Mil (est),1980,"Corporate headquarters & full-line distributor of business supplies, including packaging, shipping, material handling, safety, retail & janitorial products",,5113,Industrial and personal service paper,424130,Industrial and Personal Service Paper Merchant Wholesalers
"Waupaca Foundry, Inc.",45.094481,-87.599463,780,$230Mil (est),1955,Ductile iron castings,,3321,Foundries-gray and ductile iron,331511,Iron Foundries
"Essity Professional Hygiene North America, LLC",44.200072,-88.481485,750,$400Mil,1915,"Paper converting, facial & toilet tissue & napkins",,2679,Converted paper products,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Frito-Lay North America, Inc.",42.517222,-88.983395,750,over $100Mil,1930,"Corn, potato & tortilla chips","Lays, Ruffles, Doritos, Fritos, Cheetos",2096,Potato chips and similar snacks,311919,Other Snack Food Manufacturing
Paper Converting Machine Company (PCMC),,,750,$250Mil (est),,"High-performance converting machinery for the tissue, hygiene & printing industries, including design & repair services",,3554,Paper industries machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
American Orthodontics Corp.,43.718527,-87.755157,743,$270Mil-$280Mil,1968,Orthodontic supplies,"Master Series, Iconix, Empower, Radiance",3843,Dental equipment and supplies,339114,Dental Equipment and Supplies Manufacturing
"3M Co., Multi Divisional Products Plt.",44.90105,-91.880388,725,$180Mil (est),1974,"Electrical tape, brightness enhancing film, reclosable diaper clasps, ceramic fibers & personal protection products",,3652,Records and tapes-prerecorded,326199,All Other Plastics Product Manufacturing
"Broan-NuTone, LLC",43.329438,-88.392747,725,$600Mil,1932,"Company headquarters & residential ventilating products, including exhaust fan, range hoods, door chimes","Broan, NuTone, Best, Venmar",3564,Blowers and fans,333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
Johnson Controls Fire Protection LP,45.09718,-87.613054,725,over $100Mil,1915,Fire extinguishers & suppression systems,"Foray, Ansulite, Inergen, Sentry, Red Line",3669,Communications equipment,334290,Other Communications Equipment Manufacturing
"GE Healthcare Manufacturing, LLC",43.053949,-89.274104,710,$220Mil (est),1892,"Medical devices, including anesthesia machines, critical care ventilators, infant warming machines & incubators & digital pathology instruments",,3841,Surgical and medical instruments,339112,Surgical and Medical Instrument Manufacturing
Bradley Corp.,43.182406,-88.086247,700,$200Mil (est),1921,Corporate headquarters & commercial & public restroom plumbing fixtures & accessories & emergency safety plumbing fixtures,"Express, Verge, WashBar, Navigator, Keltech",3088,Plastic plumbing fixtures,326191,Plastics Plumbing Fixture Manufacturing
"BW Converting, Inc.",44.484898,-88.056018,700,$240Mil (est),,"Divisional headquarters & bag & pouch-making equipment & pre-applied & reclosable systems for the bag converting industry, including design & repair services",,3554,Paper industries machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
Curt Group,44.75653,-91.473097,700,$300Mil,1994,"Company headquarters & receiver, 5th wheel & gooseneck hitches, weight distribution systems, ball mounts, trailer balls, towing security, towing accessories, cargo management products, bull bars, side steps, running boards & grille guards","CURT, ARIES, LUVERNE, Ranch Hand",3799,Transportation equipment,336214,Travel Trailer and Camper Manufacturing
"HyPro, Inc.",42.754236,-88.226215,700,$150Mil,1969,Corporate headquarters & custom precision machining & subcontract assembly,,3599,Industrial machinery,332710,Machine Shops
"Kerry, Inc.",42.524429,-88.971462,700,$8Bil,1972,"Corporate headquarters; taste & nutrition systems & functional ingredients & actives for the global food, beverage & pharmaceutical markets","DaVinci Gourmet®, JET, Oregon Chai®, Golden Dipt®, Island Oasis®, Wellmune®, Red Arrow®, Big Train®",2034,"Dehydrated fruits, vegetables and soups",311942,Spice and Extract Manufacturing
KI,44.483245,-87.996546,700,$750Mil,1941,"Company headquarters & contract furniture for the education, healthcare, government & corporate markets",,2599,Furniture and fixtures,337214,Office Furniture (except Wood) Manufacturing
Marathon Cheese Corp.,44.931777,-89.833098,700,over $100Mil,1954,Corporate headquarters & cheese packaging,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Menards, Inc.",44.846854,-91.583075,700,$280Mil (est),,"Corporate headquarters & retail & wholesale building supplies, including composite decking, extrusions, pre-hung doors, trusses & concrete",,5031,"Lumber, plywood and millwork",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
Michels Corp.,43.616428,-88.494911,700,$110Mil (est),1959,"Corporate headquarters; dimension & crushed stone, granite, sand & limestone processing & horizontal directional oil drilling",,1411,Dimension stone,212311,Dimension Stone Mining and Quarrying
MilliporeSigma,43.128022,-87.949352,700,$310Mil (est),1951,Organic & inorganic chemicals,,2869,Chemicals-industrial organic,325199,All Other Basic Organic Chemical Manufacturing
Milwaukee Tool Corp.,43.093233,-88.075577,700,"$500,000-$4Mil",1998,Corporate headquarters & professional-grade titanium striking & struck tools & accessories,,3423,Tools-hand and edge,332216,Saw Blade and Handtool Manufacturing
Motomco Ltd.,43.204471,-89.326157,700,$320Mil (est),1974,Rodent control products,,2879,Agricultural chemicals,325320,Pesticide and Other Agricultural Chemical Manufacturing
"Pentair Flow Technologies, LLC",42.634199,-88.624876,700,over $1Bil,1966,"Divisional headquarters & residential water pumps, irrigation & crop spray equipment & pool, marine & specialty pumps & accessories","Aurora, Autotrol, Berkeley, Codeline, Everpure, Fairbanks Nijhuis, Flec, Flotec, Goyen Mecair, Haffmans, Hypro, Hydromatic, Jung Pumpen, Myers, Pelican, Pentek, Shurflo, Siata, Simer, Sta-Rite, Sudmo, Structural, Union, WellMate",3561,Pumps and pumping equipment,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
